TradeID,Ticker,SignalDate,EntryPrice,StopLoss,TargetPrice,Status,ExitPrice,ExitDate,PnL,Notes,Strategy,EntryDate,UpdatedStopLoss,ATR,TriggerHigh,VWAP,InitialSL,Side
db28a5c1,COALINDIA.NS,2026-01-06,405.35,393.87,428.3,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
775aa509,GODREJCP.NS,2026-01-06,1214.47,1182.24,1278.94,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
6acfc20c,HEROMOTOCO.NS,2026-01-06,5909.24,5733.39,6260.95,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
1aeff63b,HINDALCO.NS,2026-01-06,885.3,857.64,940.61,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
2b40bee3,INDHOTEL.NS,2026-01-06,740.75,722.12,778.01,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,,
41844ac3,IRCON.NS,2026-01-06,170.75,161.54,189.18,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
750b94aa,IRFC.NS,2026-01-06,123.62,118.23,134.4,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
de51b8db,JINDALSTEL.NS,2026-01-06,1045.55,1013.52,1109.61,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
d569ddaa,JSWSTEEL.NS,2026-01-06,1147.33,1115.32,1211.33,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,,
a3c7cab1,MARUTI.NS,2026-01-06,16809.54,16471.14,17486.34,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
19f2bf69,MOTHERSON.NS,2026-01-06,120.83,117.15,128.18,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
dccaa491,MUTHOOTFIN.NS,2026-01-06,3843.19,3726.29,4076.97,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
